seqID,cluster,ancestor
0,1,1
1,1,1
2,2,1
3,1,1
4,1,1
5,1,1
6,3,1
7,4,1
8,5,1
9,6,1
10,1,1
11,7,1
12,8,1
13,9,1
14,10,1
15,11,1
16,12,1
17,13,1
18,14,1
19,15,1
20,16,1
21,17,1
22,18,1
23,19,1
24,20,1
25,21,1
26,22,22
27,22,22
28,22,22
29,22,22
30,22,22
31,22,22
32,23,22
33,24,22
34,25,22
35,26,22
36,27,22
37,28,22
38,29,22
39,30,22
40,31,22
41,32,22
42,33,22
43,34,22
44,35,22
45,36,22
46,37,22
47,38,22
48,39,22
49,40,22
50,41,22
51,42,22
52,43,43
53,43,43
54,43,43
55,43,43
56,43,43
57,44,43
58,45,43
59,46,43
60,47,43
61,43,43
62,48,43
63,49,43
64,50,43
65,51,43
66,52,43
67,53,43
68,54,43
69,55,43
70,56,43
71,57,43
72,58,43
73,59,43
74,60,43
75,61,43
76,62,43
77,63,43
78,64,64
79,64,64
80,64,64
81,64,64
82,64,64
83,65,64
84,66,64
85,67,64
86,64,64
87,68,64
88,69,64
89,70,64
90,71,64
91,72,64
92,73,64
93,74,64
94,75,64
95,76,64
96,77,64
97,78,64
98,79,64
99,80,64
100,81,64
101,82,64
102,83,64
103,84,64
104,85,85
105,86,85
106,87,85
107,85,85
108,85,85
109,85,85
110,88,85
111,89,85
112,90,85
113,91,85
114,92,85
115,93,85
116,94,85
117,95,85
118,96,85
119,97,85
120,98,85
121,99,85
122,100,85
123,101,85
124,102,85
125,103,85
126,104,85
127,105,85
128,106,85
129,107,85
130,108,108
131,108,108
132,108,108
133,108,108
134,108,108
135,108,108
136,109,108
137,108,108
138,110,108
139,111,108
140,112,108
141,113,108
142,114,108
143,115,108
144,116,108
145,117,108
146,118,108
147,119,108
148,120,108
149,121,108
150,122,108
151,123,108
152,124,108
153,125,108
154,126,108
155,127,108
156,128,128
157,129,128
158,130,128
159,128,128
160,128,128
161,128,128
162,131,128
163,132,128
164,133,128
165,134,128
166,135,128
167,136,128
168,137,128
169,138,128
170,139,128
171,140,128
172,141,128
173,142,128
174,143,128
175,144,128
176,145,128
177,146,128
178,147,128
179,148,128
180,149,128
181,150,128
182,151,151
183,152,151
184,153,151
185,151,151
186,151,151
187,151,151
188,154,151
189,155,151
190,156,151
191,157,151
192,158,151
193,159,151
194,160,151
195,161,151
196,162,151
197,163,151
198,164,151
199,165,151
200,166,151
201,167,151
202,168,151
203,169,151
204,170,151
205,171,151
206,172,151
207,173,151
208,174,174
209,174,174
210,174,174
211,174,174
212,175,174
213,174,174
214,174,174
215,176,174
216,177,174
217,178,174
218,179,174
219,180,174
220,181,174
221,182,174
222,183,174
223,184,174
224,185,174
225,186,174
226,187,174
227,188,174
228,189,174
229,190,174
230,191,174
231,192,174
232,193,174
233,194,174
234,195,43
235,196,196
236,197,196
237,198,196
238,199,196
239,200,196
240,201,196
241,202,196
242,203,196
243,204,196
244,205,196
245,206,196
246,207,196
247,208,196
248,209,196
249,210,196
250,211,196
251,212,196
252,213,196
253,214,196
254,215,196
255,216,196
256,217,196
257,218,196
258,219,196
259,220,196
260,221,221
261,221,221
262,221,221
263,221,221
264,221,221
265,221,221
266,222,221
267,223,221
268,224,221
269,225,221
270,226,221
271,227,221
272,228,221
273,229,221
274,230,221
275,231,221
276,232,221
277,233,221
278,234,221
279,235,221
280,236,221
281,237,221
282,238,221
283,239,221
284,240,221
285,241,221
286,242,85
287,243,243
288,244,243
289,245,243
290,246,243
291,247,243
292,248,243
293,249,243
294,250,243
295,251,243
296,252,243
297,253,243
298,254,243
299,255,243
300,256,243
301,257,243
302,258,243
303,259,243
304,260,243
305,261,243
306,262,243
307,263,243
308,264,243
309,265,243
310,266,243
311,267,243
312,268,268
313,268,268
314,268,268
315,268,268
316,268,268
317,268,268
318,269,268
319,270,268
320,271,268
321,272,268
322,273,268
323,274,268
324,275,268
325,276,268
326,277,268
327,278,268
328,279,268
329,280,268
330,281,268
331,282,268
332,283,268
333,284,268
334,285,268
335,286,268
336,287,268
337,288,268
338,289,289
339,289,289
340,289,289
341,289,289
342,289,289
343,290,289
344,291,289
345,292,289
346,293,289
347,294,289
348,295,289
349,296,289
350,297,289
351,298,289
352,299,289
353,300,289
354,301,289
355,302,289
356,303,289
357,304,289
358,305,289
359,306,289
360,307,289
361,308,289
362,309,289
363,310,289
364,311,311
365,311,311
366,311,311
367,311,311
368,311,311
369,311,311
370,312,311
371,313,311
372,311,311
373,314,311
374,311,311
375,315,311
376,316,311
377,317,311
378,318,311
379,319,311
380,320,311
381,321,311
382,322,311
383,323,311
384,324,311
385,325,311
386,326,311
387,327,311
388,328,311
389,329,311
390,330,330
391,330,330
392,330,330
393,330,330
394,331,330
395,330,330
396,332,330
397,333,330
398,334,330
399,330,330
400,330,330
401,335,330
402,336,330
403,337,330
404,338,330
405,339,330
406,340,330
407,341,330
408,342,330
409,343,330
410,344,330
411,345,330
412,346,330
413,347,330
414,348,330
415,349,330
416,350,350
417,350,350
418,351,350
419,350,350
420,350,350
421,352,350
422,353,350
423,354,350
424,355,350
425,356,350
426,357,350
427,358,350
428,359,350
429,360,350
430,361,350
431,362,350
432,363,350
433,364,350
434,365,350
435,366,350
436,367,350
437,368,350
438,369,350
439,370,350
440,371,350
441,372,350
442,373,174
443,373,174
444,373,174
445,373,174
446,373,174
447,373,174
448,374,128
449,375,375
450,376,375
451,377,375
452,378,375
453,379,375
454,380,375
455,381,375
456,382,375
457,383,375
458,384,375
459,385,375
460,386,375
461,387,375
462,388,375
463,389,375
464,390,375
465,391,375
466,392,375
467,393,375
468,394,43
469,395,43
470,394,43
471,396,396
472,397,396
473,398,396
474,399,396
475,400,396
476,401,396
477,402,396
478,403,396
479,404,396
480,405,396
481,406,396
482,407,396
483,408,396
484,409,396
485,410,396
486,411,396
487,412,396
488,413,396
489,414,396
490,415,396
491,416,396
492,417,396
493,418,396
494,419,64
495,420,420
496,421,420
497,422,420
498,423,420
499,424,420
500,425,420
501,426,420
502,427,420
503,428,420
504,429,420
505,430,420
506,431,420
507,432,420
508,433,420
509,434,420
510,435,420
511,436,420
512,437,420
513,438,420
514,439,420
515,440,420
516,441,420
517,442,420
518,443,420
519,444,420
520,445,445
521,445,445
522,446,445
523,445,445
524,445,445
525,447,445
526,445,445
527,448,445
528,445,445
529,449,445
530,450,445
531,451,445
532,452,445
533,453,445
534,454,445
535,455,445
536,456,445
537,457,445
538,458,445
539,459,445
540,460,445
541,461,445
542,462,445
543,463,445
544,464,445
545,465,445
546,466,466
547,466,466
548,466,466
549,466,466
550,466,466
551,466,466
552,467,466
553,468,466
554,469,466
555,470,466
556,471,466
557,472,466
558,473,466
559,474,466
560,475,466
561,476,466
562,477,466
563,478,466
564,479,466
565,480,466
566,481,466
567,482,466
568,483,466
569,484,466
570,485,466
571,486,466
572,487,43
573,488,174
574,487,43
575,489,489
576,490,489
577,491,489
578,492,489
579,493,489
580,494,489
581,495,489
582,496,489
583,497,489
584,498,489
585,499,489
586,500,489
587,501,489
588,502,489
589,503,489
590,504,489
591,505,489
592,506,489
593,507,489
594,508,489
595,509,489
596,510,489
597,511,489
598,512,64
599,512,64
600,512,64
601,512,64
602,512,64
603,513,64
604,514,64
605,515,515
606,516,515
607,517,515
608,518,515
609,519,515
610,520,515
611,521,515
612,522,515
613,523,515
614,524,515
615,525,515
616,526,515
617,527,515
618,528,515
619,529,515
620,530,515
621,531,515
622,532,515
623,533,515
624,534,534
625,534,534
626,534,534
627,535,534
628,536,534
629,534,534
630,534,534
631,537,534
632,538,534
633,539,534
634,540,534
635,541,534
636,542,534
637,543,534
638,544,534
639,545,534
640,546,534
641,547,534
642,548,534
643,549,534
644,550,534
645,551,534
646,552,534
647,553,534
648,554,534
649,555,534
650,556,556
651,556,556
652,557,556
653,558,556
654,556,556
655,556,556
656,559,556
657,560,556
658,556,556
659,556,556
660,561,556
661,562,556
662,563,556
663,564,556
664,565,556
665,566,556
666,567,556
667,568,556
668,569,556
669,570,556
670,571,556
671,572,556
672,573,556
673,574,556
674,575,556
675,576,556
676,577,577
677,577,577
678,577,577
679,577,577
680,577,577
681,577,577
682,578,577
683,579,577
684,580,577
685,581,577
686,582,577
687,583,577
688,584,577
689,585,577
690,586,577
691,587,577
692,588,577
693,589,577
694,590,577
695,591,577
696,592,577
697,593,577
698,594,577
699,595,577
700,596,577
701,597,577
702,598,598
703,598,598
704,599,598
705,600,598
706,598,598
707,598,598
708,601,598
709,602,598
710,603,598
711,604,598
712,605,598
713,606,598
714,607,598
715,608,598
716,609,598
717,610,598
718,611,598
719,612,598
720,613,598
721,614,598
722,615,598
723,616,598
724,617,598
725,618,598
726,619,598
727,620,598
728,621,85
729,622,85
730,621,85
731,623,623
732,624,623
733,625,623
734,626,623
735,627,623
736,628,623
737,629,623
738,630,623
739,631,623
740,632,623
741,633,623
742,634,623
743,635,623
744,636,623
745,637,623
746,638,623
747,639,623
748,640,623
749,641,623
750,642,623
751,643,623
752,644,623
753,645,623
754,646,646
755,646,646
756,646,646
757,646,646
758,647,646
759,646,646
760,646,646
761,648,646
762,649,646
763,646,646
764,650,646
765,651,646
766,652,646
767,653,646
768,654,646
769,655,646
770,656,646
771,657,646
772,658,646
773,659,646
774,660,646
775,661,646
776,662,646
777,663,646
778,664,646
779,665,646
780,666,666
781,666,666
782,667,666
783,666,666
784,666,666
785,668,666
786,669,666
787,670,666
788,671,666
789,672,666
790,673,666
791,674,666
792,675,666
793,676,666
794,666,666
795,677,666
796,678,666
797,679,666
798,680,666
799,681,666
800,682,666
801,683,666
802,684,666
803,685,666
804,686,666
805,687,666
806,688,688
807,688,688
808,688,688
809,688,688
810,688,688
811,688,688
812,689,688
813,690,688
814,688,688
815,691,688
816,692,688
817,693,688
818,694,688
819,695,688
820,696,688
821,697,688
822,698,688
823,699,688
824,700,688
825,701,688
826,702,688
827,703,688
828,704,688
829,705,688
830,706,688
831,707,688
832,708,708
833,709,708
834,708,708
835,710,708
836,708,708
837,711,708
838,712,708
839,713,708
840,714,708
841,715,708
842,716,708
843,717,708
844,718,708
845,719,708
846,720,708
847,721,708
848,722,708
849,723,708
850,724,708
851,725,708
852,726,708
853,727,708
854,728,708
855,729,708
856,730,708
857,731,708
858,732,43
859,732,43
860,733,733
861,734,733
862,734,733
863,735,733
864,736,733
865,737,733
866,738,733
867,739,733
868,740,733
869,741,733
870,742,733
871,743,733
872,744,733
873,745,733
874,746,733
875,747,733
876,748,733
877,749,733
878,750,733
879,751,733
880,752,733
881,753,733
882,754,733
883,755,733
884,756,756
885,757,756
886,756,756
887,756,756
888,756,756
889,756,756
890,758,756
891,759,756
892,760,756
893,761,756
894,756,756
895,762,756
896,763,756
897,764,756
898,765,756
899,766,756
900,767,756
901,768,756
902,769,756
903,770,756
904,771,756
905,772,756
906,773,756
907,774,756
908,775,756
909,776,756
910,777,777
911,777,777
912,777,777
913,777,777
914,777,777
915,777,777
916,778,777
917,779,777
918,777,777
919,777,777
920,780,777
921,781,777
922,782,777
923,783,777
924,784,777
925,785,777
926,786,777
927,787,777
928,788,777
929,789,777
930,790,777
931,791,777
932,792,777
933,793,777
934,794,777
935,795,777
936,796,796
937,796,796
938,796,796
939,796,796
940,796,796
941,796,796
942,797,796
943,798,796
944,799,796
945,796,796
946,800,796
947,801,796
948,802,796
949,803,796
950,804,796
951,805,796
952,806,796
953,807,796
954,808,796
955,809,796
956,810,796
957,811,796
958,812,796
959,813,796
960,814,796
961,815,796
962,816,816
963,816,816
964,816,816
965,816,816
966,816,816
967,816,816
968,817,816
969,816,816
970,818,816
971,819,816
972,820,816
973,821,816
974,822,816
975,823,816
976,824,816
977,825,816
978,826,816
979,827,816
980,828,816
981,829,816
982,830,816
983,831,816
984,832,816
985,833,816
986,834,816
987,835,816
988,836,836
989,836,836
990,837,836
991,836,836
992,836,836
993,836,836
994,838,836
995,839,836
996,840,836
997,841,836
998,842,836
999,843,836
1000,844,836
1001,845,836
1002,846,836
1003,847,836
1004,848,836
1005,849,836
1006,850,836
1007,851,836
1008,852,836
1009,853,836
1010,854,836
1011,855,836
1012,856,836
1013,857,836
1014,858,858
1015,859,858
1016,858,858
1017,860,858
1018,861,858
1019,862,858
1020,863,858
1021,864,858
1022,865,858
1023,866,858
1024,867,858
1025,868,858
1026,869,858
1027,870,858
1028,871,858
1029,872,858
1030,873,858
1031,874,858
1032,875,858
1033,876,858
1034,877,858
1035,878,858
1036,879,858
1037,880,858
1038,881,858
1039,882,858
1040,883,883
1041,883,883
1042,884,883
1043,883,883
1044,885,883
1045,883,883
1046,883,883
1047,886,883
1048,887,883
1049,883,883
1050,888,883
1051,889,883
1052,890,883
1053,891,883
1054,892,883
1055,893,883
1056,894,883
1057,895,883
1058,896,883
1059,897,883
1060,898,883
1061,899,883
1062,900,883
1063,901,883
1064,902,883
1065,903,883
1066,904,22
1067,905,905
1068,906,905
1069,907,905
1070,908,905
1071,909,905
1072,910,905
1073,911,905
1074,912,905
1075,913,905
1076,914,905
1077,915,905
1078,916,905
1079,917,905
1080,918,905
1081,919,905
1082,920,905
1083,921,905
1084,922,905
1085,923,905
1086,924,905
1087,925,905
1088,926,905
1089,927,905
1090,928,905
1091,929,905
