seqID,cluster,ancestor
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,2,1
17,1,1
18,3,1
19,4,1
20,5,1
21,5,1
22,5,1
23,1,1
24,5,1
25,5,1
26,6,6
27,6,6
28,6,6
29,6,6
30,6,6
31,6,6
32,6,6
33,6,6
34,6,6
35,6,6
36,6,6
37,6,6
38,6,6
39,6,6
40,7,6
41,6,6
42,8,6
43,6,6
44,6,6
45,9,6
46,6,6
47,9,6
48,10,6
49,6,6
50,10,6
51,10,6
52,11,11
53,11,11
54,11,11
55,11,11
56,11,11
57,11,11
58,11,11
59,11,11
60,11,11
61,11,11
62,11,11
63,11,11
64,11,11
65,11,11
66,11,11
67,11,11
68,12,11
69,13,11
70,11,11
71,11,11
72,14,11
73,11,11
74,14,11
75,15,11
76,15,11
77,15,11
78,16,16
79,16,16
80,16,16
81,16,16
82,16,16
83,16,16
84,16,16
85,16,16
86,16,16
87,16,16
88,16,16
89,16,16
90,16,16
91,16,16
92,16,16
93,16,16
94,17,16
95,16,16
96,18,16
97,19,16
98,16,16
99,20,16
100,21,16
101,20,16
102,20,16
103,22,16
104,23,23
105,23,23
106,23,23
107,23,23
108,23,23
109,23,23
110,23,23
111,23,23
112,23,23
113,23,23
114,23,23
115,23,23
116,23,23
117,23,23
118,23,23
119,23,23
120,23,23
121,23,23
122,23,23
123,23,23
124,23,23
125,23,23
126,24,23
127,23,23
128,25,23
129,23,23
130,26,26
131,26,26
132,26,26
133,26,26
134,26,26
135,26,26
136,26,26
137,26,26
138,26,26
139,26,26
140,26,26
141,26,26
142,26,26
143,26,26
144,26,26
145,26,26
146,27,26
147,28,26
148,29,26
149,26,26
150,26,26
151,30,26
152,31,26
153,32,26
154,33,26
155,26,26
156,34,34
157,34,34
158,34,34
159,34,34
160,34,34
161,34,34
162,34,34
163,34,34
164,34,34
165,34,34
166,34,34
167,34,34
168,34,34
169,34,34
170,34,34
171,34,34
172,34,34
173,35,34
174,34,34
175,36,34
176,37,34
177,38,34
178,39,34
179,40,34
180,41,34
181,42,34
182,43,43
183,43,43
184,43,43
185,43,43
186,43,43
187,43,43
188,43,43
189,43,43
190,43,43
191,43,43
192,43,43
193,43,43
194,43,43
195,44,43
196,43,43
197,43,43
198,43,43
199,45,43
200,46,43
201,43,43
202,47,43
203,48,43
204,47,43
205,49,43
206,50,43
207,47,43
208,51,51
209,51,51
210,51,51
211,51,51
212,51,51
213,51,51
214,51,51
215,51,51
216,51,51
217,51,51
218,51,51
219,51,51
220,51,51
221,52,51
222,51,51
223,51,51
224,53,51
225,54,51
226,55,51
227,51,51
228,55,51
229,54,51
230,51,51
231,56,51
232,54,51
233,57,51
234,58,11
235,59,59
236,59,59
237,59,59
238,59,59
239,59,59
240,60,59
241,59,59
242,60,59
243,61,59
244,61,59
245,59,59
246,62,59
247,59,59
248,61,59
249,62,59
250,63,59
251,59,59
252,63,59
253,61,59
254,62,59
255,64,59
256,62,59
257,62,59
258,65,59
259,66,59
260,67,67
261,67,67
262,67,67
263,67,67
264,67,67
265,67,67
266,67,67
267,67,67
268,67,67
269,67,67
270,67,67
271,67,67
272,67,67
273,68,67
274,67,67
275,67,67
276,69,67
277,70,67
278,70,67
279,71,67
280,67,67
281,70,67
282,72,67
283,73,67
284,70,67
285,74,67
286,75,23
287,76,76
288,76,76
289,76,76
290,76,76
291,76,76
292,77,76
293,76,76
294,76,76
295,76,76
296,78,76
297,79,76
298,76,76
299,78,76
300,79,76
301,78,76
302,80,76
303,79,76
304,79,76
305,78,76
306,78,76
307,80,76
308,80,76
309,80,76
310,78,76
311,81,76
312,82,82
313,82,82
314,82,82
315,82,82
316,82,82
317,82,82
318,82,82
319,82,82
320,82,82
321,82,82
322,82,82
323,82,82
324,82,82
325,82,82
326,82,82
327,82,82
328,83,82
329,82,82
330,84,82
331,85,82
332,82,82
333,86,82
334,87,82
335,86,82
336,86,82
337,86,82
338,88,88
339,88,88
340,88,88
341,88,88
342,88,88
343,88,88
344,88,88
345,88,88
346,88,88
347,88,88
348,88,88
349,88,88
350,88,88
351,88,88
352,89,88
353,88,88
354,90,88
355,91,88
356,88,88
357,88,88
358,91,88
359,92,88
360,93,88
361,94,88
362,88,88
363,92,88
364,95,95
365,95,95
366,95,95
367,95,95
368,95,95
369,95,95
370,95,95
371,95,95
372,95,95
373,95,95
374,95,95
375,95,95
376,95,95
377,95,95
378,95,95
379,95,95
380,95,95
381,96,95
382,95,95
383,97,95
384,95,95
385,98,95
386,99,95
387,100,95
388,99,95
389,101,95
390,102,102
391,102,102
392,102,102
393,102,102
394,102,102
395,102,102
396,102,102
397,102,102
398,102,102
399,102,102
400,102,102
401,102,102
402,103,102
403,102,102
404,102,102
405,102,102
406,104,102
407,105,102
408,106,102
409,105,102
410,102,102
411,106,102
412,107,102
413,106,102
414,105,102
415,108,102
416,109,109
417,109,109
418,109,109
419,109,109
420,109,109
421,109,109
422,109,109
423,109,109
424,109,109
425,109,109
426,109,109
427,109,109
428,109,109
429,109,109
430,109,109
431,109,109
432,110,109
433,111,109
434,112,109
435,109,109
436,112,109
437,112,109
438,109,109
439,113,109
440,114,109
441,115,109
442,116,51
443,116,51
444,116,51
445,116,51
446,116,51
447,116,51
448,117,34
449,118,118
450,118,118
451,119,118
452,120,118
453,119,118
454,119,118
455,120,118
456,119,118
457,119,118
458,120,118
459,121,118
460,122,118
461,123,118
462,122,118
463,121,118
464,122,118
465,122,118
466,122,118
467,122,118
468,124,11
469,124,11
470,124,11
471,125,125
472,125,125
473,125,125
474,125,125
475,125,125
476,125,125
477,125,125
478,125,125
479,126,125
480,127,125
481,125,125
482,128,125
483,129,125
484,129,125
485,129,125
486,128,125
487,129,125
488,129,125
489,130,125
490,129,125
491,131,125
492,132,125
493,128,125
494,133,16
495,134,134
496,134,134
497,134,134
498,134,134
499,134,134
500,134,134
501,134,134
502,134,134
503,134,134
504,134,134
505,134,134
506,134,134
507,135,134
508,134,134
509,136,134
510,137,134
511,138,134
512,138,134
513,138,134
514,139,134
515,140,134
516,141,134
517,142,134
518,143,134
519,144,134
520,145,145
521,145,145
522,145,145
523,145,145
524,145,145
525,145,145
526,145,145
527,145,145
528,145,145
529,145,145
530,145,145
531,145,145
532,145,145
533,145,145
534,146,145
535,145,145
536,147,145
537,145,145
538,148,145
539,145,145
540,145,145
541,149,145
542,150,145
543,151,145
544,150,145
545,145,145
546,152,152
547,152,152
548,152,152
549,152,152
550,152,152
551,152,152
552,152,152
553,152,152
554,152,152
555,152,152
556,152,152
557,152,152
558,153,152
559,154,152
560,155,152
561,152,152
562,156,152
563,157,152
564,152,152
565,155,152
566,156,152
567,158,152
568,155,152
569,159,152
570,156,152
571,155,152
572,160,11
573,161,51
574,160,11
575,162,162
576,162,162
577,162,162
578,162,162
579,163,162
580,164,162
581,165,162
582,162,162
583,165,162
584,164,162
585,163,162
586,164,162
587,164,162
588,165,162
589,165,162
590,165,162
591,165,162
592,165,162
593,165,162
594,166,162
595,164,162
596,165,162
597,165,162
598,167,16
599,167,16
600,167,16
601,167,16
602,167,16
603,167,16
604,167,16
605,168,168
606,168,168
607,168,168
608,168,168
609,169,168
610,170,168
611,171,168
612,172,168
613,171,168
614,170,168
615,170,168
616,170,168
617,170,168
618,172,168
619,173,168
620,171,168
621,173,168
622,170,168
623,171,168
624,174,174
625,174,174
626,174,174
627,174,174
628,174,174
629,174,174
630,174,174
631,174,174
632,174,174
633,174,174
634,174,174
635,174,174
636,174,174
637,175,174
638,174,174
639,174,174
640,174,174
641,176,174
642,177,174
643,174,174
644,174,174
645,178,174
646,179,174
647,178,174
648,180,174
649,174,174
650,181,181
651,181,181
652,181,181
653,181,181
654,181,181
655,181,181
656,181,181
657,181,181
658,181,181
659,181,181
660,181,181
661,181,181
662,182,181
663,181,181
664,181,181
665,183,181
666,184,181
667,185,181
668,185,181
669,185,181
670,185,181
671,185,181
672,186,181
673,187,181
674,185,181
675,188,181
676,189,189
677,189,189
678,189,189
679,189,189
680,189,189
681,189,189
682,189,189
683,189,189
684,189,189
685,189,189
686,189,189
687,189,189
688,189,189
689,189,189
690,189,189
691,189,189
692,189,189
693,189,189
694,189,189
695,189,189
696,189,189
697,190,189
698,191,189
699,189,189
700,192,189
701,193,189
702,194,194
703,194,194
704,194,194
705,194,194
706,194,194
707,194,194
708,194,194
709,194,194
710,194,194
711,194,194
712,194,194
713,194,194
714,194,194
715,195,194
716,194,194
717,194,194
718,196,194
719,194,194
720,197,194
721,194,194
722,194,194
723,194,194
724,197,194
725,198,194
726,194,194
727,199,194
728,200,23
729,200,23
730,200,23
731,201,201
732,201,201
733,201,201
734,202,201
735,201,201
736,203,201
737,201,201
738,201,201
739,203,201
740,203,201
741,204,201
742,203,201
743,201,201
744,203,201
745,204,201
746,203,201
747,204,201
748,204,201
749,205,201
750,205,201
751,206,201
752,203,201
753,204,201
754,207,207
755,207,207
756,207,207
757,207,207
758,207,207
759,207,207
760,207,207
761,207,207
762,207,207
763,207,207
764,207,207
765,207,207
766,207,207
767,207,207
768,208,207
769,207,207
770,207,207
771,209,207
772,207,207
773,210,207
774,207,207
775,211,207
776,212,207
777,212,207
778,211,207
779,212,207
780,213,213
781,213,213
782,213,213
783,213,213
784,213,213
785,213,213
786,213,213
787,213,213
788,213,213
789,213,213
790,213,213
791,214,213
792,215,213
793,213,213
794,213,213
795,213,213
796,216,213
797,213,213
798,217,213
799,217,213
800,217,213
801,217,213
802,218,213
803,213,213
804,219,213
805,220,213
806,221,221
807,221,221
808,221,221
809,221,221
810,221,221
811,221,221
812,221,221
813,221,221
814,221,221
815,221,221
816,221,221
817,221,221
818,221,221
819,221,221
820,221,221
821,222,221
822,223,221
823,224,221
824,225,221
825,225,221
826,221,221
827,224,221
828,225,221
829,226,221
830,225,221
831,226,221
832,227,227
833,227,227
834,227,227
835,227,227
836,227,227
837,227,227
838,227,227
839,227,227
840,227,227
841,227,227
842,227,227
843,228,227
844,227,227
845,227,227
846,229,227
847,227,227
848,230,227
849,230,227
850,230,227
851,227,227
852,227,227
853,231,227
854,231,227
855,227,227
856,231,227
857,227,227
858,232,11
859,232,11
860,233,233
861,233,233
862,233,233
863,233,233
864,233,233
865,233,233
866,233,233
867,233,233
868,233,233
869,233,233
870,234,233
871,233,233
872,233,233
873,235,233
874,236,233
875,236,233
876,237,233
877,233,233
878,236,233
879,236,233
880,236,233
881,238,233
882,237,233
883,237,233
884,239,239
885,239,239
886,239,239
887,239,239
888,239,239
889,239,239
890,239,239
891,239,239
892,239,239
893,239,239
894,239,239
895,239,239
896,239,239
897,239,239
898,239,239
899,239,239
900,240,239
901,241,239
902,242,239
903,239,239
904,243,239
905,243,239
906,244,239
907,245,239
908,246,239
909,243,239
910,247,247
911,247,247
912,247,247
913,247,247
914,247,247
915,247,247
916,247,247
917,248,247
918,247,247
919,247,247
920,247,247
921,247,247
922,247,247
923,247,247
924,247,247
925,247,247
926,249,247
927,250,247
928,247,247
929,251,247
930,252,247
931,251,247
932,253,247
933,254,247
934,255,247
935,256,247
936,257,257
937,257,257
938,257,257
939,257,257
940,257,257
941,257,257
942,257,257
943,257,257
944,257,257
945,257,257
946,257,257
947,257,257
948,258,257
949,257,257
950,257,257
951,257,257
952,259,257
953,257,257
954,260,257
955,257,257
956,257,257
957,261,257
958,257,257
959,262,257
960,263,257
961,264,257
962,265,265
963,265,265
964,265,265
965,265,265
966,265,265
967,265,265
968,265,265
969,265,265
970,265,265
971,265,265
972,265,265
973,266,265
974,265,265
975,265,265
976,265,265
977,265,265
978,265,265
979,267,265
980,268,265
981,265,265
982,269,265
983,270,265
984,271,265
985,269,265
986,272,265
987,273,265
988,274,274
989,274,274
990,274,274
991,274,274
992,274,274
993,274,274
994,274,274
995,274,274
996,274,274
997,274,274
998,274,274
999,275,274
1000,274,274
1001,274,274
1002,274,274
1003,274,274
1004,276,274
1005,274,274
1006,274,274
1007,274,274
1008,274,274
1009,277,274
1010,278,274
1011,274,274
1012,279,274
1013,280,274
1014,281,281
1015,281,281
1016,281,281
1017,281,281
1018,281,281
1019,281,281
1020,281,281
1021,281,281
1022,281,281
1023,281,281
1024,282,281
1025,281,281
1026,283,281
1027,284,281
1028,281,281
1029,281,281
1030,285,281
1031,281,281
1032,285,281
1033,281,281
1034,285,281
1035,285,281
1036,284,281
1037,285,281
1038,284,281
1039,285,281
1040,286,286
1041,286,286
1042,286,286
1043,286,286
1044,286,286
1045,286,286
1046,286,286
1047,286,286
1048,286,286
1049,286,286
1050,286,286
1051,286,286
1052,287,286
1053,286,286
1054,286,286
1055,286,286
1056,288,286
1057,286,286
1058,289,286
1059,290,286
1060,290,286
1061,291,286
1062,290,286
1063,292,286
1064,286,286
1065,293,286
1066,294,6
1067,295,295
1068,295,295
1069,295,295
1070,295,295
1071,296,295
1072,295,295
1073,295,295
1074,295,295
1075,295,295
1076,295,295
1077,296,295
1078,296,295
1079,296,295
1080,296,295
1081,296,295
1082,297,295
1083,296,295
1084,296,295
1085,298,295
1086,296,295
1087,299,295
1088,298,295
1089,298,295
1090,298,295
1091,298,295
