seqID,cluster,ancestor,level
398,328,324,3
399,324,324,0
400,324,324,0
401,329,324,4
402,330,324,12
403,331,324,11
404,332,324,6
405,333,324,5
406,334,324,10
407,335,324,11
408,336,324,7
409,337,324,8
410,338,324,9
411,339,324,9
412,340,324,7
413,341,324,8
414,342,324,6
415,343,324,1
416,344,344,0
417,344,344,0
418,345,344,1
419,344,344,0
420,344,344,0
421,346,344,2
422,347,344,3
423,348,344,9
424,349,344,7
425,350,344,6
426,351,344,4
427,352,344,10
428,353,344,12
429,354,344,11
430,355,344,13
431,356,344,5
432,357,344,15
433,358,344,18
434,359,344,16
435,360,344,8
436,361,344,17
437,362,344,19
438,363,344,14
439,364,344,16
440,365,344,17
441,366,344,9
442,367,367,0
443,367,367,0
444,367,367,0
445,367,367,0
446,367,367,0
447,367,367,0
448,368,367,1
449,369,367,3
450,370,367,2
451,371,367,4
452,372,367,11
453,373,367,5
454,374,367,6
455,375,367,7
456,376,367,10
457,377,367,8
458,378,367,12
459,379,367,13
460,380,367,14
461,381,367,14
462,382,367,10
463,383,367,11
464,384,367,9
465,385,367,1
466,386,367,7
467,387,367,4
468,388,388,0
469,389,388,1
470,388,388,0
471,388,388,0
472,388,388,0
473,388,388,0
474,390,388,4
475,391,388,2
476,392,388,5
477,388,388,0
478,393,388,3
479,394,388,8
480,395,388,12
481,396,388,7
482,397,388,9
483,398,388,6
484,399,388,10
485,400,388,12
486,401,388,13
487,402,388,13
488,403,388,11
489,404,388,6
490,405,388,3
491,406,388,4
492,407,388,9
493,408,388,10
494,409,409,0
495,409,409,0
496,409,409,0
497,410,409,1
498,409,409,0
499,409,409,0
500,411,409,2
501,412,409,7
502,413,409,3
503,414,409,4
504,415,409,5
505,416,409,9
506,417,409,6
507,418,409,10
508,419,409,8
509,420,409,15
510,421,409,15
511,422,409,11
512,423,409,12
513,424,409,13
514,425,409,14
515,426,409,13
516,427,409,1
517,428,409,8
518,429,409,9
519,430,409,3
520,431,431,0
521,431,431,0
522,432,431,1
523,431,431,0
524,431,431,0
525,433,431,2
526,431,431,0
527,434,431,4
528,431,431,0
529,435,431,12
530,436,431,10
531,437,431,3
532,438,431,13
533,439,431,11
534,440,431,15
535,441,431,14
536,442,431,10
537,443,431,11
538,444,431,16
539,445,431,5
540,446,431,6
541,447,431,7
542,448,431,8
543,449,431,9
544,450,431,6
545,451,431,7
546,452,452,0
547,452,452,0
548,452,452,0
549,452,452,0
550,452,452,0
551,452,452,0
552,453,452,1
553,454,452,2
554,455,452,3
555,456,452,6
556,457,452,5
557,458,452,10
558,459,452,11
559,460,452,12
560,461,452,13
561,462,452,4
562,463,452,10
563,464,452,14
564,465,452,11
565,466,452,7
566,467,452,8
567,468,452,10
568,469,452,11
569,470,452,9
570,471,452,7
571,472,452,8
572,473,473,0
573,473,473,0
574,473,473,0
575,474,473,1
576,473,473,0
577,473,473,0
578,475,473,2
579,476,473,11
580,477,473,8
581,478,473,6
582,479,473,3
583,480,473,13
584,481,473,14
585,482,473,4
586,483,473,5
587,484,473,9
588,485,473,15
589,486,473,16
590,487,473,10
591,488,473,17
592,489,473,7
593,490,473,12
594,491,473,12
595,492,473,6
596,493,473,14
597,494,473,13
598,495,495,0
599,495,495,0
600,495,495,0
601,495,495,0
602,495,495,0
603,496,495,1
604,497,495,7
605,498,495,4
606,499,495,5
607,500,495,6
608,495,495,0
609,501,495,9
610,502,495,8
611,503,495,10
612,504,495,15
613,505,495,16
614,506,495,11
615,507,495,12
616,508,495,14
617,509,495,17
618,510,495,18
619,511,495,4
620,512,495,5
621,513,495,2
622,514,495,3
623,515,495,13
624,516,516,0
625,516,516,0
626,516,516,0
627,517,516,1
628,518,516,2
