seqID,cluster,ancestor,level
398,168,164,3
399,164,164,0
400,164,164,0
401,169,164,4
402,170,164,8
403,170,164,8
404,166,164,7
405,169,164,4
406,171,164,7
407,172,164,8
408,173,164,5
409,166,164,7
410,174,164,6
411,175,164,6
412,176,164,5
413,177,164,6
414,178,164,7
415,179,164,1
416,180,180,0
417,180,180,0
418,181,180,1
419,180,180,0
420,180,180,0
421,182,180,2
422,183,180,3
423,184,180,4
424,184,180,4
425,183,180,3
426,183,180,3
427,184,180,4
428,185,180,5
429,184,180,4
430,186,180,6
431,183,180,3
432,187,180,7
433,187,180,7
434,187,180,7
435,185,180,5
436,187,180,7
437,187,180,7
438,185,180,5
439,187,180,7
440,187,180,7
441,188,180,4
442,189,189,0
443,189,189,0
444,189,189,0
445,189,189,0
446,189,189,0
447,189,189,0
448,190,189,1
449,191,189,3
450,192,189,2
451,193,189,4
452,194,189,5
453,193,189,4
454,193,189,4
455,194,189,5
456,193,189,4
457,193,189,4
458,194,189,5
459,195,189,6
460,196,189,7
461,197,189,7
462,196,189,7
463,196,189,7
464,196,189,7
465,198,189,1
466,199,189,6
467,200,189,4
468,201,201,0
469,202,201,1
470,201,201,0
471,201,201,0
472,201,201,0
473,201,201,0
474,203,201,3
475,204,201,2
476,203,201,3
477,201,201,0
478,204,201,2
479,205,201,5
480,206,201,7
481,207,201,4
482,208,201,6
483,205,201,5
484,206,201,7
485,209,201,7
486,208,201,6
487,206,201,7
488,205,201,5
489,210,201,5
490,211,201,5
491,212,201,6
492,213,201,6
493,208,201,6
494,214,214,0
495,214,214,0
496,214,214,0
497,215,214,1
498,214,214,0
499,214,214,0
500,216,214,2
501,217,214,5
502,218,214,3
503,219,214,4
504,218,214,3
505,219,214,4
506,218,214,3
507,220,214,6
508,217,214,5
509,217,214,5
510,221,214,7
511,217,214,5
512,220,214,6
513,221,214,7
514,220,214,6
515,221,214,7
516,222,214,1
517,223,214,7
518,223,214,7
519,224,214,3
520,225,225,0
521,225,225,0
522,226,225,1
523,225,225,0
524,225,225,0
525,227,225,2
526,225,225,0
527,228,225,3
528,225,225,0
529,229,225,7
530,230,225,6
531,227,225,2
532,230,225,6
533,230,225,6
534,231,225,9
535,232,225,8
536,233,225,6
537,234,225,7
538,232,225,8
539,235,225,4
540,236,225,5
541,230,225,6
542,230,225,6
543,230,225,6
544,237,225,5
545,238,225,6
546,239,239,0
547,239,239,0
548,239,239,0
549,239,239,0
550,239,239,0
551,239,239,0
552,240,239,1
553,241,239,2
554,242,239,3
555,243,239,4
556,243,239,4
557,244,239,6
558,244,239,6
559,245,239,7
560,246,239,8
561,243,239,4
562,247,239,6
563,246,239,8
564,248,239,7
565,249,239,5
566,244,239,6
567,250,239,6
568,244,239,6
569,244,239,6
570,251,239,5
571,244,239,6
572,252,252,0
573,252,252,0
574,252,252,0
575,253,252,1
576,252,252,0
577,252,252,0
578,254,252,2
579,255,252,5
580,256,252,4
581,257,252,3
582,256,252,4
583,258,252,6
584,259,252,7
