seqID,cluster,ancestor
0,428,96
1,498,96
2,844,96
3,428,96
4,553,96
5,199,96
6,294,96
7,96,96
8,824,96
9,182,96
10,578,96
11,116,96
12,546,546
13,77,77
14,198,96
15,970,970
16,780,780
17,489,489
18,560,560
19,250,250
20,56,56
21,106,106
22,693,693
23,701,701
24,318,318
25,959,959
26,125,117
27,332,117
28,117,117
29,125,117
30,630,117
31,219,117
32,799,117
33,707,117
34,575,117
35,351,117
36,712,117
37,273,117
38,928,117
39,187,117
40,150,150
41,392,392
42,1028,1028
43,274,117
44,244,244
45,883,883
46,266,266
47,313,313
48,230,230
49,819,819
50,217,217
51,85,85
52,194,136
53,695,136
54,895,136
55,645,136
56,565,136
57,194,136
58,602,136
59,136,136
60,356,136
61,350,136
62,376,136
63,664,664
64,788,788
65,196,196
66,768,768
67,623,623
68,374,374
69,1023,1023
70,271,271
71,479,136
72,445,445
73,740,740
74,731,731
75,343,343
76,437,437
77,410,410
78,832,579
79,496,93
80,517,93
81,571,93
82,832,579
83,245,68
84,159,93
85,627,579
86,772,579
87,708,662
88,969,579
89,702,702
90,579,579
91,662,662
92,68,68
93,252,252
94,734,734
95,361,361
96,484,484
97,295,295
98,93,93
99,982,982
100,816,816
101,345,345
102,940,940
103,470,470
104,135,35
105,603,404
106,518,488
107,208,204
108,932,725
109,562,404
110,956,404
111,725,725
112,404,404
113,723,488
114,924,404
115,960,960
116,488,488
117,759,759
118,35,35
119,944,944
120,477,477
121,789,789
122,805,805
123,204,204
124,829,829
125,765,765
126,880,880
127,692,692
128,916,916
129,513,513
130,25,25
131,690,25
132,268,25
133,92,25
134,25,25
135,25,25
136,39,25
137,672,25
138,612,25
139,862,25
140,898,25
141,967,25
142,665,25
143,620,25
144,329,25
145,648,25
146,99,99
147,285,25
148,902,902
149,426,25
150,598,25
151,195,195
152,310,310
153,552,552
154,846,846
155,69,25
156,67,3
157,872,3
158,501,3
159,67,3
160,67,3
161,67,3
162,65,3
163,977,3
164,3,3
165,185,3
166,288,3
167,269,3
168,736,736
169,850,3
170,981,3
171,896,3
172,756,3
173,1,1
174,213,213
175,30,30
176,823,823
177,568,568
178,251,251
179,1017,1017
180,205,205
181,897,897
182,292,6
183,646,6
184,544,6
185,292,6
186,792,6
187,851,6
188,1031,137
189,964,6
190,706,6
191,254,254
192,105,6
193,390,6
194,137,137
195,1013,1013
196,6,6
197,639,639
198,128,128
199,308,308
200,533,533
201,818,818
202,993,993
203,375,375
204,937,937
205,192,192
206,448,448
207,555,555
208,43,43
209,997,43
210,312,43
211,1032,43
212,326,43
213,717,43
214,43,43
215,508,43
216,584,43
217,189,43
218,287,43
219,992,43
220,755,43
221,611,43
222,181,43
223,115,43
224,1024,43
225,654,43
226,947,947
227,588,43
228,876,43
229,833,833
230,529,529
231,261,261
232,10,10
233,622,622
234,72,72
235,72,72
236,592,72
237,460,72
238,174,72
239,848,72
240,637,72
241,854,72
242,408,72
243,447,72
244,978,72
245,173,72
246,776,72
247,747,72
248,339,72
249,290,72
250,519,519
251,357,72
252,388,388
253,899,72
254,1018,72
255,82,82
256,97,97
257,849,849
258,64,64
259,636,636
260,31,31
261,257,31
262,1000,31
263,911,31
264,549,31
265,31,31
266,297,31
267,635,31
268,81,31
269,52,31
270,709,31
271,543,31
272,58,31
273,955,31
274,653,31
275,1003,31
276,63,63
277,476,476
278,465,465
279,76,31
280,647,31
281,158,158
282,825,825
283,411,411
284,540,540
285,114,114
286,520,224
287,963,224
288,925,358
289,520,224
290,520,224
291,520,224
292,317,224
293,965,224
294,349,224
295,224,224
296,966,224
297,888,888
298,587,224
299,917,224
300,514,514
301,487,224
302,98,98
303,468,468
304,358,358
305,331,331
306,628,224
307,659,659
308,260,260
309,791,791
310,886,886
311,473,473
312,7,7
313,7,7
314,362,7
315,980,7
316,480,7
317,156,7
318,705,7
319,367,7
320,140,7
321,227,7
322,795,7
323,201,7
324,276,7
325,505,7
326,586,7
327,483,7
328,461,461
329,774,7
330,396,396
331,270,270
332,397,7
333,482,482
334,831,831
335,478,478
336,348,348
337,36,36
338,37,37
339,466,37
340,1030,37
341,258,37
342,37,37
343,80,37
344,594,37
345,450,37
346,278,37
347,921,37
348,378,37
349,711,37
350,700,37
351,667,37
352,931,37
353,446,37
354,715,37
355,864,864
356,655,37
357,160,37
358,420,420
359,70,70
360,889,889
361,215,215
362,148,37
363,906,906
364,186,176
365,452,176
366,1011,176
367,186,176
368,186,176
369,422,176
370,874,176
371,385,176
372,176,176
373,394,176
374,950,176
375,481,176
376,809,176
377,748,176
378,716,176
379,364,364
380,536,536
381,382,382
382,209,176
383,1025,1025
384,875,875
385,42,42
386,75,75
387,2,2
388,507,507
389,601,176
390,88,54
391,666,464
392,88,54
393,88,54
394,838,464
395,123,54
396,352,54
397,132,54
398,582,582
399,286,54
400,550,464
401,1015,464
402,912,912
403,570,570
404,54,54
405,464,464
406,475,475
407,936,936
408,395,395
409,409,409
410,757,757
411,414,414
412,878,878
413,545,545
414,293,293
415,935,935
416,190,34
417,391,34
418,134,34
419,190,34
420,908,34
421,1021,34
422,320,34
423,506,34
424,238,34
425,34,34
426,311,34
427,218,34
428,71,34
429,48,34
430,991,991
431,681,681
432,644,644
433,820,820
434,413,413
435,839,681
436,684,684
437,177,177
438,800,800
439,203,203
440,103,103
441,49,49
442,180,141
443,296,141
444,180,141
445,180,141
446,180,141
447,180,141
448,337,337
449,1016,994
450,987,141
451,231,141
452,463,141
453,569,141
454,802,141
455,994,994
456,232,232
457,141,141
458,315,315
459,953,953
460,11,11
461,107,107
462,732,732
463,164,164
464,618,618
465,163,163
466,873,873
467,877,877
468,51,51
469,51,51
470,170,51
471,614,51
472,161,51
473,785,51
474,608,51
475,168,51
476,782,51
477,341,51
478,440,51
479,657,51
480,767,767
481,433,51
482,585,585
483,724,51
484,775,51
485,541,541
486,691,691
487,814,51
488,728,728
489,1001,1001
490,319,319
491,259,51
492,597,597
493,79,79
494,8,8
495,760,8
496,8,8
497,892,8
498,941,8
499,677,8
500,609,8
501,325,8
502,510,8
503,240,8
504,971,8
505,499,8
506,353,8
507,856,8
508,236,8
509,590,8
510,615,615
511,1035,8
512,302,8
513,613,613
514,94,94
515,46,46
516,1007,1007
517,323,8
518,699,699
519,606,606
520,207,126
521,346,126
522,685,126
523,784,126
524,207,126
525,126,126
526,583,126
527,457,126
528,985,126
529,857,126
530,811,126
531,537,126
532,625,126
