seqID,cluster,ancestor,level
398,173,169,7
399,169,169,0
400,169,169,0
401,174,169,8
402,175,169,9
403,175,169,9
404,174,169,8
405,174,169,8
406,176,169,5
407,177,169,6
408,178,169,2
409,179,169,3
410,180,169,4
411,181,169,4
412,182,169,2
413,183,169,3
414,184,169,5
415,185,169,1
416,186,186,0
417,186,186,0
418,187,186,1
419,186,186,0
420,186,186,0
421,188,186,2
422,189,186,3
423,190,186,4
424,190,186,4
425,189,186,3
426,189,186,3
427,190,186,4
428,191,186,5
429,190,186,4
430,192,186,6
431,189,186,3
432,193,186,7
433,193,186,7
434,193,186,7
435,191,186,5
436,193,186,7
437,193,186,7
438,191,186,5
439,193,186,7
440,193,186,7
441,194,186,4
442,195,195,0
443,195,195,0
444,195,195,0
445,195,195,0
446,195,195,0
447,195,195,0
448,196,195,1
449,197,195,2
450,198,195,3
451,198,195,3
452,199,195,4
453,199,195,4
454,200,195,5
455,199,195,4
456,201,195,7
457,200,195,5
458,201,195,7
459,200,195,5
460,202,195,8
461,200,195,5
462,203,195,7
463,204,195,8
464,200,195,5
465,205,195,1
466,206,195,8
467,207,195,6
468,208,208,0
469,209,208,1
470,208,208,0
471,208,208,0
472,208,208,0
473,208,208,0
474,210,208,2
475,211,208,3
476,212,208,4
477,208,208,0
478,211,208,3
479,212,208,4
480,213,208,6
481,212,208,4
482,214,208,7
483,215,208,8
484,215,208,8
485,216,208,6
486,214,208,7
487,212,208,4
488,217,208,7
489,218,208,7
490,219,208,5
491,220,208,6
492,221,208,7
493,222,208,5
494,223,223,0
495,223,223,0
496,223,223,0
497,224,223,1
498,223,223,0
499,223,223,0
500,225,223,2
501,226,223,3
502,227,223,4
503,227,223,4
504,227,223,4
505,228,223,5
506,227,223,4
507,229,223,6
508,228,223,5
509,229,223,6
510,230,223,7
511,228,223,5
512,229,223,6
513,230,223,7
514,228,223,5
515,230,223,7
516,231,223,1
517,232,223,7
518,233,223,5
519,234,223,4
520,235,235,0
521,235,235,0
522,236,235,1
523,235,235,0
524,235,235,0
525,237,235,2
526,235,235,0
527,238,235,3
528,235,235,0
529,239,235,6
530,240,235,7
531,237,235,2
532,239,235,6
533,240,235,7
534,241,235,8
535,240,235,7
536,242,235,7
537,240,235,7
538,243,235,9
539,244,235,8
540,245,235,6
541,246,235,7
542,247,235,4
543,248,235,5
544,240,235,7
545,239,235,6
546,249,249,0
547,249,249,0
548,249,249,0
549,249,249,0
550,249,249,0
551,249,249,0
552,250,249,1
553,251,249,2
554,252,249,3
555,253,249,4
556,253,249,4
557,254,249,6
558,254,249,6
559,255,249,7
560,256,249,8
561,253,249,4
562,257,249,6
563,256,249,8
564,258,249,7
565,259,249,5
566,254,249,6
567,260,249,6
568,254,249,6
569,254,249,6
570,261,249,5
571,254,249,6
572,262,262,0
573,262,262,0
574,262,262,0
575,263,262,1
576,262,262,0
577,262,262,0
578,264,262,2
579,265,262,3
580,266,262,4
581,267,262,5
582,266,262,4
583,268,262,6
584,269,262,7
585,267,262,5
586,267,262,5
587,267,262,5
588,267,262,5
589,268,262,6
590,267,262,5
591,267,262,5
592,267,262,5
593,267,262,5
594,270,262,6
595,271,262,5
596,272,262,7
597,268,262,6
598,273,273,0
599,273,273,0
600,273,273,0
601,273,273,0
602,273,273,0
603,274,273,1
604,275,273,2
605,276,273,5
606,276,273,5
607,276,273,5
608,273,273,0
609,277,273,6
610,278,273,7
611,279,273,8
612,280,273,9
613,279,273,8
614,278,273,7
615,278,273,7
616,278,273,7
617,278,273,7
618,280,273,9
619,281,273,5
620,282,273,6
621,283,273,3
622,284,273,4
623,276,273,5
624,285,285,0
625,285,285,0
626,285,285,0
627,286,285,1
628,287,285,2
629,285,285,0
630,285,285,0
631,288,285,3
632,289,285,4
633,289,285,4
634,289,285,4
635,290,285,7
636,289,285,4
637,290,285,7
638,291,285,7
639,290,285,7
640,292,285,5
641,290,285,7
642,291,285,7
643,288,285,3
644,292,285,5
645,293,285,6
646,290,285,7
647,292,285,5
648,294,285,6
649,292,285,5
650,295,295,0
651,295,295,0
652,296,295,1
653,297,295,2
654,295,295,0
655,295,295,0
656,298,295,4
657,299,295,5
658,295,295,0
659,295,295,0
660,297,295,2
661,300,295,6
662,301,295,7
663,301,295,7
664,299,295,5
665,302,295,8
666,302,295,8
667,302,295,8
668,301,295,7
669,302,295,8
670,301,295,7
671,301,295,7
672,303,295,4
673,304,295,5
674,301,295,7
675,305,295,3
676,306,306,0
677,306,306,0
678,306,306,0
679,306,306,0
680,306,306,0
681,306,306,0
682,307,306,1
683,308,306,2
684,309,306,3
685,310,306,4
686,310,306,4
687,310,306,4
688,309,306,3
689,310,306,4
690,310,306,4
691,310,306,4
692,311,306,5
693,310,306,4
694,312,306,6
695,311,306,5
696,310,306,4
697,310,306,4
698,313,306,7
699,312,306,6
700,314,306,2
701,315,306,3
702,316,316,0
703,316,316,0
704,317,316,1
705,318,316,2
706,316,316,0
707,316,316,0
708,319,316,3
709,320,316,4
710,319,316,3
711,321,316,5
712,320,316,4
713,321,316,5
714,322,316,6
715,322,316,6
716,320,316,4
717,321,316,5
718,321,316,5
719,321,316,5
720,322,316,6
721,321,316,5
722,322,316,6
723,322,316,6
724,323,316,7
725,324,316,6
726,322,316,6
727,325,316,6
728,326,326,0
729,327,326,1
730,326,326,0
731,328,326,2
732,326,326,0
733,326,326,0
734,329,326,3
735,328,326,2
736,330,326,4
737,331,326,5
738,331,326,5
739,331,326,5
740,331,326,5
741,331,326,5
742,331,326,5
743,330,326,4
744,332,326,7
745,331,326,5
746,331,326,5
747,331,326,5
748,331,326,5
749,333,326,7
750,334,326,6
751,332,326,7
752,331,326,5
753,331,326,5
754,335,335,0
755,335,335,0
756,335,335,0
757,335,335,0
758,336,335,1
759,335,335,0
760,335,335,0
761,337,335,2
762,338,335,3
763,335,335,0
764,339,335,4
765,339,335,4
766,340,335,5
767,339,335,4
768,341,335,6
769,340,335,5
770,342,335,7
771,342,335,7
772,339,335,4
773,342,335,7
774,339,335,4
775,341,335,6
776,343,335,6
777,343,335,6
778,341,335,6
779,342,335,7
780,344,344,0
781,344,344,0
782,345,344,1
783,344,344,0
784,344,344,0
785,346,344,2
786,347,344,3
787,348,344,4
788,347,344,3
789,348,344,4
790,348,344,4
791,349,344,6
792,350,344,7
793,348,344,4
794,344,344,0
795,350,344,7
796,351,344,8
797,350,344,7
798,350,344,7
799,352,344,6
800,353,344,7
801,354,344,5
802,355,344,5
803,349,344,6
804,356,344,5
805,357,344,5
806,358,358,0
807,358,358,0
808,358,358,0
809,358,358,0
810,358,358,0
811,358,358,0
812,359,358,1
813,360,358,2
814,358,358,0
815,361,358,3
816,362,358,4
817,363,358,5
818,363,358,5
819,362,358,4
820,363,358,5
821,363,358,5
822,364,358,6
823,364,358,6
824,364,358,6
825,365,358,7
826,362,358,4
827,365,358,7
828,365,358,7
829,364,358,6
830,363,358,5
831,365,358,7
832,366,366,0
833,367,366,1
834,366,366,0
835,368,366,2
836,366,366,0
837,369,366,3
838,370,366,4
839,369,366,3
840,369,366,3
841,371,366,5
842,369,366,3
843,372,366,6
844,371,366,5
845,370,366,4
846,373,366,7
847,371,366,5
848,372,366,6
849,372,366,6
850,373,366,7
851,371,366,5
852,372,366,6
853,372,366,6
854,373,366,7
855,373,366,7
856,373,366,7
857,373,366,7
858,374,374,0
859,374,374,0
860,374,374,0
861,374,374,0
862,374,374,0
863,374,374,0
864,375,374,1
865,374,374,0
866,376,374,2
